rank,country,gold,silver,bronze,total
1,Australia,74,55,48,177
2,India,38,27,36,101
3,England,37,60,45,142
4,Canada,26,17,32,75
5,Kenya,12,11,10,33
5,South Africa,12,11,10,33
7,Malaysia,12,10,13,35
8,Singapore,11,11,9,31
9,Nigeria,11,10,14,35
10,Scotland,9,10,7,26
11,New Zealand,6,22,8,36
12,Cyprus,4,3,5,12
13,Wales,3,6,10,19
14,Northern Ireland,3,3,4,10
15,Samoa,3,0,1,4
16,Jamaica,2,4,1,7
17,Pakistan,2,1,2,5
18,Uganda,2,0,0,2
19,Bahamas,1,1,3,5
20,Botswana,1,1,2,4
21,Nauru,1,1,0,2
22,Cayman Islands,1,0,0,1
22,Saint Vincent and the Grenadines,1,0,0,1
24,Trinidad and Tobago,0,4,2,6
25,Cameroon,0,2,4,6
26,Ghana,0,1,3,4
27,Namibia,0,1,2,3
28,Sri Lanka,0,1,1,2
29,Papua New Guinea,0,1,0,1
29,Seychelles,0,1,0,1
31,Isle of Man,0,0,2,2
31,Mauritius,0,0,2,2
31,Tonga,0,0,2,2
34,Bangladesh,0,0,1,1
34,Guyana,0,0,1,1
34,Saint Lucia,0,0,1,1
