rank,country,gold,silver,bronze,total
1,Australia,80,59,59,198
2,England,45,45,46,136
3,India,26,20,20,66
4,Canada,15,40,27,82
5,New Zealand,15,16,15,46
6,South Africa,13,11,13,37
7,Wales,10,12,14,36
8,Scotland,9,13,22,44
9,Nigeria,9,9,6,24
10,Cyprus,8,1,5,14
11,Jamaica,7,9,11,27
12,Malaysia,7,5,12,24
13,Singapore,5,2,2,9
14,Kenya,4,7,5,16
15,Uganda,3,1,3,7
16,Botswana,3,1,1,5
17,Samoa,2,3,0,5
18,Trinidad and Tobago,2,1,0,3
19,Namibia,2,0,0,2
20,Northern Ireland,1,7,4,12
21,Bahamas,1,3,0,4
22,Papua New Guinea,1,2,0,3
23,Fiji,1,1,2,4
24,Pakistan,1,0,4,5
25,Grenada,1,0,1,2
26,Bermuda,1,0,0,1
26,British Virgin Islands,1,0,0,1
26,Guyana,1,0,0,1
26,Saint Lucia,1,0,0,1
30,Bangladesh,0,2,0,2
31,Sri Lanka,0,1,5,6
32,Cameroon,0,1,2,3
33,Dominica,0,1,1,2
34,Isle of Man,0,1,0,1
34,Mauritius,0,1,0,1
34,Nauru,0,1,0,1
37,Malta,0,0,2,2
37,Vanuatu,0,0,2,2
39,Cook Islands,0,0,1,1
39,Ghana,0,0,1,1
39,Norfolk Island,0,0,1,1
39,Seychelles,0,0,1,1
39,Solomon Islands,0,0,1,1
