event,athlete,medal,home_nation,share,evidence
Men's 100 metres Breaststroke,Adam Peaty,gold,England,1,"Wikipedia medal-record infobox lists 'Representing England'. Born 28 December 1994 in Uttoxeter, Staffordshire, England; joined Dove Valley Swimming Club in Uttoxeter aged nine."
Men's 200 metres Freestyle,Thomas Dean,gold,England,1,"Wikipedia medal-record infobox lists 'Representing England' for Commonwealth Games competition. Born in London and grew up in Maidenhead, Berkshire, England."
Men's 4 x 200 metres Freestyle Relay,"Thomas Dean, James Guy, Matthew Richards, Duncan Scott, Calum Jarvis (heats only)",gold,England,0.5,"Final-race roster: Dean, Guy, Richards, Scott (Duncan Scott replaced heats swimmer Calum Jarvis as anchor for the final). Dean: Wikipedia medal-record infobox 'Representing England'; grew up in Maidenhead, Berkshire. Guy: Wikipedia medal-record infobox 'Representing England'; born in Bury, Greater Manchester, England. Richards: Wikipedia states 'Although born in England, Richards represented Wales as his father was born there'; listed in the category 'Commonwealth Games swimmers for Wales'; born in Droitwich, Worcestershire, England. Scott: Wikipedia states he represents 'Scotland at the Commonwealth Games'; born in Glasgow, Scotland, grew up in Alloa. Final roster = 2 England (Dean, Guy), 1 Wales (Richards), 1 Scotland (Scott); medal apportioned to the largest group, England. Heats-only Calum Jarvis: Wikipedia states he competed 'representing Wales' at the 2014 Commonwealth Games, born in Ystrad, Rhondda, Wales -> Wales, but did not swim the final so not counted in the majority calculation. [FRACTIONAL APPORTIONMENT: revised from winner-take-all majority rule to shares proportional to final-race roster composition, per repo-wide policy change following the Wales/NI audit (see data/olympics/WALES_NI_AUDIT.md) — smaller home nations contributing a minority of a mixed relay were previously rounded down to zero.]"
Men's 4 x 200 metres Freestyle Relay,"Thomas Dean, James Guy, Matthew Richards, Duncan Scott, Calum Jarvis (heats only)",gold,Wales,0.25,"Final-race roster: Dean, Guy, Richards, Scott (Duncan Scott replaced heats swimmer Calum Jarvis as anchor for the final). Dean: Wikipedia medal-record infobox 'Representing England'; grew up in Maidenhead, Berkshire. Guy: Wikipedia medal-record infobox 'Representing England'; born in Bury, Greater Manchester, England. Richards: Wikipedia states 'Although born in England, Richards represented Wales as his father was born there'; listed in the category 'Commonwealth Games swimmers for Wales'; born in Droitwich, Worcestershire, England. Scott: Wikipedia states he represents 'Scotland at the Commonwealth Games'; born in Glasgow, Scotland, grew up in Alloa. Final roster = 2 England (Dean, Guy), 1 Wales (Richards), 1 Scotland (Scott); medal apportioned to the largest group, England. Heats-only Calum Jarvis: Wikipedia states he competed 'representing Wales' at the 2014 Commonwealth Games, born in Ystrad, Rhondda, Wales -> Wales, but did not swim the final so not counted in the majority calculation. [FRACTIONAL APPORTIONMENT: revised from winner-take-all majority rule to shares proportional to final-race roster composition, per repo-wide policy change following the Wales/NI audit (see data/olympics/WALES_NI_AUDIT.md) — smaller home nations contributing a minority of a mixed relay were previously rounded down to zero.]"
Men's 4 x 200 metres Freestyle Relay,"Thomas Dean, James Guy, Matthew Richards, Duncan Scott, Calum Jarvis (heats only)",gold,Scotland,0.25,"Final-race roster: Dean, Guy, Richards, Scott (Duncan Scott replaced heats swimmer Calum Jarvis as anchor for the final). Dean: Wikipedia medal-record infobox 'Representing England'; grew up in Maidenhead, Berkshire. Guy: Wikipedia medal-record infobox 'Representing England'; born in Bury, Greater Manchester, England. Richards: Wikipedia states 'Although born in England, Richards represented Wales as his father was born there'; listed in the category 'Commonwealth Games swimmers for Wales'; born in Droitwich, Worcestershire, England. Scott: Wikipedia states he represents 'Scotland at the Commonwealth Games'; born in Glasgow, Scotland, grew up in Alloa. Final roster = 2 England (Dean, Guy), 1 Wales (Richards), 1 Scotland (Scott); medal apportioned to the largest group, England. Heats-only Calum Jarvis: Wikipedia states he competed 'representing Wales' at the 2014 Commonwealth Games, born in Ystrad, Rhondda, Wales -> Wales, but did not swim the final so not counted in the majority calculation. [FRACTIONAL APPORTIONMENT: revised from winner-take-all majority rule to shares proportional to final-race roster composition, per repo-wide policy change following the Wales/NI audit (see data/olympics/WALES_NI_AUDIT.md) — smaller home nations contributing a minority of a mixed relay were previously rounded down to zero.]"
Mixed 4 x 100 metres Medley Relay,"Kathleen Dawson, Adam Peaty, James Guy, Anna Hopkin, Freya Anderson (heats only)",gold,England,0.75,"Final-race roster: Dawson (backstroke), Peaty (breaststroke), Guy (butterfly), Hopkin (freestyle) — Anna Hopkin replaced heats swimmer Freya Anderson on the freestyle leg for the final. Dawson: Wikipedia: 'Dawson has represented Scotland at the Commonwealth Games since 2014'; born in Kirkcaldy, Fife, Scotland -> Scotland. Peaty: Wikipedia medal-record infobox 'Representing England'. Guy: Wikipedia medal-record infobox 'Representing England'. Hopkin: Wikipedia medal-record infobox 'Representing England'; 'Hopkin is from Chorley', Lancashire, England. Final roster = 3 England (Peaty, Guy, Hopkin), 1 Scotland (Dawson); medal apportioned to majority home nation, England. Heats-only Freya Anderson: Wikipedia medal-record infobox 'Representing England'; born in Birkenhead, Merseyside, England -> England, but did not swim the final so not counted in the majority calculation (also England, reinforcing the majority). [FRACTIONAL APPORTIONMENT: revised from winner-take-all majority rule to shares proportional to final-race roster composition, per repo-wide policy change following the Wales/NI audit (see data/olympics/WALES_NI_AUDIT.md) — smaller home nations contributing a minority of a mixed relay were previously rounded down to zero.]"
Mixed 4 x 100 metres Medley Relay,"Kathleen Dawson, Adam Peaty, James Guy, Anna Hopkin, Freya Anderson (heats only)",gold,Scotland,0.25,"Final-race roster: Dawson (backstroke), Peaty (breaststroke), Guy (butterfly), Hopkin (freestyle) — Anna Hopkin replaced heats swimmer Freya Anderson on the freestyle leg for the final. Dawson: Wikipedia: 'Dawson has represented Scotland at the Commonwealth Games since 2014'; born in Kirkcaldy, Fife, Scotland -> Scotland. Peaty: Wikipedia medal-record infobox 'Representing England'. Guy: Wikipedia medal-record infobox 'Representing England'. Hopkin: Wikipedia medal-record infobox 'Representing England'; 'Hopkin is from Chorley', Lancashire, England. Final roster = 3 England (Peaty, Guy, Hopkin), 1 Scotland (Dawson); medal apportioned to majority home nation, England. Heats-only Freya Anderson: Wikipedia medal-record infobox 'Representing England'; born in Birkenhead, Merseyside, England -> England, but did not swim the final so not counted in the majority calculation (also England, reinforcing the majority). [FRACTIONAL APPORTIONMENT: revised from winner-take-all majority rule to shares proportional to final-race roster composition, per repo-wide policy change following the Wales/NI audit (see data/olympics/WALES_NI_AUDIT.md) — smaller home nations contributing a minority of a mixed relay were previously rounded down to zero.]"
Men's 200 metres Freestyle,Duncan Scott,silver,Scotland,1,"Wikipedia states Scott represents 'Scotland at the Commonwealth Games'. Born 6 May 1997 in Glasgow, Scotland; grew up in Alloa before attending boarding school."
Men's 200 metres Individual Medley,Duncan Scott,silver,Scotland,1,"Wikipedia states Scott represents 'Scotland at the Commonwealth Games'. Born in Glasgow, Scotland; grew up in Alloa."
Men's 4 x 100 metres Medley Relay,"Luke Greenbank, Adam Peaty, James Guy, Duncan Scott, James Wilby (heats only)",silver,England,0.75,"Final-race roster: Greenbank (backstroke), Peaty (breaststroke), Guy (butterfly), Scott (freestyle) — Adam Peaty replaced heats swimmer James Wilby on the breaststroke leg for the final. Greenbank: Wikipedia medal-record infobox 'Representing England'; born in Crewe, England. Peaty: Wikipedia medal-record infobox 'Representing England'. Guy: Wikipedia medal-record infobox 'Representing England'. Scott: Wikipedia states he represents 'Scotland at the Commonwealth Games'; born in Glasgow, Scotland. Final roster = 3 England (Greenbank, Peaty, Guy), 1 Scotland (Scott); medal apportioned to majority home nation, England. Heats-only James Wilby: Wikipedia medal-record infobox 'Representing England' despite being born in Glasgow, Scotland (explicit Commonwealth Games statement takes precedence over birthplace) -> England, but did not swim the final so not counted in the majority calculation (also England, reinforcing the majority). [FRACTIONAL APPORTIONMENT: revised from winner-take-all majority rule to shares proportional to final-race roster composition, per repo-wide policy change following the Wales/NI audit (see data/olympics/WALES_NI_AUDIT.md) — smaller home nations contributing a minority of a mixed relay were previously rounded down to zero.]"
Men's 4 x 100 metres Medley Relay,"Luke Greenbank, Adam Peaty, James Guy, Duncan Scott, James Wilby (heats only)",silver,Scotland,0.25,"Final-race roster: Greenbank (backstroke), Peaty (breaststroke), Guy (butterfly), Scott (freestyle) — Adam Peaty replaced heats swimmer James Wilby on the breaststroke leg for the final. Greenbank: Wikipedia medal-record infobox 'Representing England'; born in Crewe, England. Peaty: Wikipedia medal-record infobox 'Representing England'. Guy: Wikipedia medal-record infobox 'Representing England'. Scott: Wikipedia states he represents 'Scotland at the Commonwealth Games'; born in Glasgow, Scotland. Final roster = 3 England (Greenbank, Peaty, Guy), 1 Scotland (Scott); medal apportioned to majority home nation, England. Heats-only James Wilby: Wikipedia medal-record infobox 'Representing England' despite being born in Glasgow, Scotland (explicit Commonwealth Games statement takes precedence over birthplace) -> England, but did not swim the final so not counted in the majority calculation (also England, reinforcing the majority). [FRACTIONAL APPORTIONMENT: revised from winner-take-all majority rule to shares proportional to final-race roster composition, per repo-wide policy change following the Wales/NI audit (see data/olympics/WALES_NI_AUDIT.md) — smaller home nations contributing a minority of a mixed relay were previously rounded down to zero.]"
Men's 200 metres Backstroke,Luke Greenbank,bronze,England,1,"Wikipedia medal-record infobox lists 'Representing England'. Born 17 September 1997 in Crewe, England."
