event,athlete,medal,home_nation,share,evidence
Women's 800 metres,Keely Hodgkinson,gold,England,1,"Wikipedia: born and raised in Atherton, Greater Manchester, England. Commonwealth Games medal record explicitly lists 'Representing England' — silver medal, 800m, Birmingham 2022."
Men's 1500 metres,Josh Kerr,silver,Scotland,1,"Wikipedia: 'Kerr was born on 8 October 1997 in Edinburgh, Scotland, UK.' He began running with the Edinburgh Athletics Club at age eight. Represented Scotland at the 2022 Commonwealth Games in Birmingham (1500m, 12th place)."
Men's 400 metres,Matthew Hudson-Smith,silver,England,1,"Wikipedia: 'He was chosen to represent England at the 2014 Commonwealth Games in the 4 x 400m relay alongside Conrad Williams, Michael Bingham, and Daniel Awde.' Born in Wolverhampton, England."
Women's Heptathlon,Katarina Johnson-Thompson,silver,England,1,"Wikipedia: born in Woolton, Liverpool; Commonwealth Games medal record explicitly lists 'Representing England' — gold medals in the heptathlon at Gold Coast 2018 and Birmingham 2022."
Women's 4 x 100 metres relay,"Dina Asher-Smith, Imani-Lara Lansiquot, Amy Hunt, Daryll Neita, Bianca Williams (heats only), Desirèe Henry (heats only)",silver,England,1,"All six roster members represent England at the Commonwealth Games. Asher-Smith: Wikipedia medal-record infobox 'Representing England' (born and raised in Orpington, London, England). Lansiquot: Wikipedia medal-record infobox lists 'Representing England' (born in Peckham, London). Hunt: Wikipedia categorises her as an English sprinter (born Newark, Nottinghamshire, England); selected for Team England's athletics squad for the Glasgow 2026 Commonwealth Games. Neita: Wikipedia medal-record infobox 'Representing England' (born in London, England). Williams (heats only): Wikipedia: 'She competed for England at the 2014 Commonwealth Games.' Henry (heats only): no explicit Commonwealth Games statement found on Wikipedia; fallback to birthplace, 'Henry was born on 26 August 1995 in Edmonton, London' (moderate confidence). Unanimous England roster across the final four and both heats-only reserves."
Mixed 4 x 400 metres relay,"Sam Reardon, Laviai Nielsen, Alex Haydock-Wilson, Amber Anning, Nicole Yeargin (heats only, replaced in the final)",bronze,England,1,"Final-race roster: Reardon, L. Nielsen, Haydock-Wilson, Anning (all four ran the final); Yeargin ran round 1 only and was replaced by Anning for the final. Reardon: no explicit Commonwealth Games statement found on Wikipedia; fallback to birthplace, 'Reardon is from Beckenham in London' (moderate confidence). L. Nielsen: no explicit Commonwealth Games statement found; fallback to Wikipedia bio 'grew up in Leytonstone, East London' -> England (moderate confidence, consistent with her twin sister Lina's entry below). Haydock-Wilson: no explicit Commonwealth Games statement found; fallback to birthplace 'Lewisham, London, England' (moderate confidence). Anning: Wikipedia: 'was part of the England team that finished second in the mixed 4 x 400 metres relay' at the 2017 Commonwealth Youth Games. Final roster unanimous England (Reardon, Nielsen, Haydock-Wilson, Anning); heats-only Yeargin is Scotland (Wikipedia: won bronze in the 4 x 400m relay 'for Scotland at the 2022 Commonwealth Games') but did not run the final, so majority home nation is England."
Men's 4 x 100 metres relay,"Jeremiah Azu, Louie Hinchliffe, Nethaneel Mitchell-Blake, Zharnel Hughes, Richard Kilty (heats only)",bronze,England,0.75,"Final-race roster: Azu, Hinchliffe, Mitchell-Blake, Hughes. Azu: Wikipedia: 'Azu was born in the Netherlands, and raised in Wales' -> Wales (moderate-high confidence; corroborated externally by Welsh Athletics, which describes him as 'Wales' fastest man' and confirms he competed in the 100m for Wales at the Birmingham 2022 Commonwealth Games, and was 'the first Welshman to dip under 10 seconds'). Hinchliffe: Wikipedia: 'He was selected to represent England at the 2026 Commonwealth Games in Glasgow.' Mitchell-Blake: Wikipedia medal-record infobox lists 'Representing England'. Hughes: won 4x100m gold 'for England' at both the 2018 and 2022 Commonwealth Games. Kilty (heats only): Wikipedia medal-record infobox 'Representing England'; gold in the 4 x 100 metre relay at the 2018 Commonwealth Games. Final roster = 3 England (Hinchliffe, Mitchell-Blake, Hughes), 1 Wales (Azu); medal apportioned to majority home nation, England. [FRACTIONAL APPORTIONMENT: revised from winner-take-all majority rule to shares proportional to final-race roster composition, per repo-wide policy change following the Wales/NI audit (see data/olympics/WALES_NI_AUDIT.md) — smaller home nations contributing a minority of a mixed relay were previously rounded down to zero.]"
Men's 4 x 100 metres relay,"Jeremiah Azu, Louie Hinchliffe, Nethaneel Mitchell-Blake, Zharnel Hughes, Richard Kilty (heats only)",bronze,Wales,0.25,"Final-race roster: Azu, Hinchliffe, Mitchell-Blake, Hughes. Azu: Wikipedia: 'Azu was born in the Netherlands, and raised in Wales' -> Wales (moderate-high confidence; corroborated externally by Welsh Athletics, which describes him as 'Wales' fastest man' and confirms he competed in the 100m for Wales at the Birmingham 2022 Commonwealth Games, and was 'the first Welshman to dip under 10 seconds'). Hinchliffe: Wikipedia: 'He was selected to represent England at the 2026 Commonwealth Games in Glasgow.' Mitchell-Blake: Wikipedia medal-record infobox lists 'Representing England'. Hughes: won 4x100m gold 'for England' at both the 2018 and 2022 Commonwealth Games. Kilty (heats only): Wikipedia medal-record infobox 'Representing England'; gold in the 4 x 100 metre relay at the 2018 Commonwealth Games. Final roster = 3 England (Hinchliffe, Mitchell-Blake, Hughes), 1 Wales (Azu); medal apportioned to majority home nation, England. [FRACTIONAL APPORTIONMENT: revised from winner-take-all majority rule to shares proportional to final-race roster composition, per repo-wide policy change following the Wales/NI audit (see data/olympics/WALES_NI_AUDIT.md) — smaller home nations contributing a minority of a mixed relay were previously rounded down to zero.]"
Men's 4 x 400 metres relay,"Alex Haydock-Wilson, Matthew Hudson-Smith, Lewis Davey, Charlie Dobson, Samuel Reardon (heats only), Toby Harries (heats only)",bronze,England,1,"All six roster members are England. Haydock-Wilson: no explicit Commonwealth Games statement found; fallback to birthplace 'Lewisham, London, England' (moderate confidence). Hudson-Smith: Wikipedia: chosen to represent England at the 2014 Commonwealth Games 4x400m relay; born in Wolverhampton. Davey: no explicit Commonwealth Games statement found; fallback to birthplace 'Grantham, Lincolnshire, England' (moderate confidence). Dobson: no explicit Commonwealth Games statement found; fallback to birthplace 'Colchester, Essex, England' (moderate confidence). Reardon (heats only): fallback to birthplace 'Beckenham in London' (moderate confidence). Harries (heats only): Wikipedia: 'He was selected to represent England at the 2026 Commonwealth Games in Glasgow.' Unanimous England roster."
Women's 4 x 400 metres relay,"Victoria Ohuruogu, Laviai Nielsen, Nicole Yeargin, Amber Anning, Yemi Mary John (heats only), Hannah Kelly (heats only), Jodie Williams (heats only), Lina Nielsen (heats only)",bronze,England,0.75,"Final-race roster (10 Aug): Ohuruogu, L. Nielsen, Yeargin, Anning. Ohuruogu: Wikipedia infobox 'Representing England'. L. Nielsen: no explicit Commonwealth Games statement; fallback to 'grew up in Leytonstone, East London' -> England (moderate confidence). Yeargin: Wikipedia: won bronze in the 4 x 400m relay 'for Scotland at the 2022 Commonwealth Games' -> Scotland. Anning: Wikipedia: part of the England team at the 2017 Commonwealth Youth Games. Final roster = 3 England (Ohuruogu, Nielsen, Anning), 1 Scotland (Yeargin); medal apportioned to majority home nation, England (same pattern, and the same Scotland minority athlete, Yeargin, as the analogous Women's 4x400m relay entry in gb_apportionment_2022.csv). Heats-only reserves (round 1, 9 Aug, replaced for the final): Yemi Mary John - Wikipedia: 'John was selected to represent England at the 2026 Commonwealth Games in Glasgow.' Hannah Kelly - no explicit Commonwealth Games statement; fallback to 'From Bury' (Greater Manchester) -> England (moderate confidence). Jodie Williams - Wikipedia medal-record infobox 'Representing England'. Lina Nielsen - no explicit Commonwealth Games statement; fallback to 'grew up in Leytonstone, East London' with twin sister Laviai -> England (moderate confidence). All heats-only reserves are also England, reinforcing the majority (though not counted in the final-roster majority calculation). [FRACTIONAL APPORTIONMENT: revised from winner-take-all majority rule to shares proportional to final-race roster composition, per repo-wide policy change following the Wales/NI audit (see data/olympics/WALES_NI_AUDIT.md) — smaller home nations contributing a minority of a mixed relay were previously rounded down to zero.]"
