sport,country,gold,silver,bronze,total
Athletics,United States,7,12,7,26
Athletics,Italy,5,0,0,5
Athletics,Kenya,4,4,2,10
Athletics,Poland,4,2,3,9
Athletics,Jamaica,4,1,4,9
Athletics,Netherlands,2,3,3,8
Athletics,Canada,2,2,2,6
Athletics,China,2,2,2,6
Athletics,Uganda,2,1,1,4
Athletics,Norway,2,1,0,3
Athletics,Sweden,2,1,0,3
Athletics,Bahamas,2,0,0,2
Athletics,Germany,1,2,0,3
Athletics,Ethiopia,1,1,2,4
Athletics,Portugal,1,1,0,2
Athletics,ROC,1,1,0,2
Athletics,Belgium,1,0,1,2
Athletics,Greece,1,0,0,1
Athletics,India,1,0,0,1
Athletics,Morocco,1,0,0,1
Athletics,Puerto Rico,1,0,0,1
Athletics,Qatar,1,0,0,1
Athletics,Venezuela,1,0,0,1
Athletics,England,0,1,2,3
Athletics,Scotland,0,1,1,2
Athletics,Colombia,0,2,0,2
Athletics,Dominican Republic,0,2,0,2
Athletics,Australia,0,1,2,3
Athletics,Cuba,0,1,2,3
Athletics,Czech Republic,0,1,1,2
Athletics,Japan,0,1,1,2
Athletics,Bahrain,0,1,0,1
Athletics,France,0,1,0,1
Athletics,Namibia,0,1,0,1
Athletics,Brazil,0,0,2,2
Athletics,New Zealand,0,0,2,2
Athletics,Austria,0,0,1,1
Athletics,Belarus,0,0,1,1
Athletics,Botswana,0,0,1,1
Athletics,Burkina Faso,0,0,1,1
Athletics,Grenada,0,0,1,1
Athletics,Nigeria,0,0,1,1
Athletics,Spain,0,0,1,1
Athletics,Ukraine,0,0,1,1
