country,gold,silver,bronze,total,rank
Australia,60.59,49.51,47.77,157.87,1
England,35.34,38.91,33.30,107.54,2
Canada,24.99,21.27,31.73,77.99,3
New Zealand,12.44,12.52,10.55,35.50,4
Kenya,11.77,8.84,8.93,29.53,5
Scotland,11.56,12.57,13.19,37.31,6
South Africa,8.21,9.01,9.01,26.23,7
India,7.72,9.98,8.44,26.15,8
Jamaica,6.58,11.58,7.16,25.33,9
Wales,5.20,5.81,9.37,20.38,10
Nigeria,4.69,4.75,4.71,14.14,11
Northern Ireland,3.64,4.90,2.70,11.23,12
Uganda,2.71,0.78,2.20,5.69,13
Malaysia,2.67,1.75,2.81,7.22,14
Botswana,2.32,0.96,1.27,4.56,15
Cyprus,2.01,1.07,2.39,5.48,16
Trinidad and Tobago,1.87,2.24,1.25,5.36,17
Samoa,1.62,3.22,0.93,5.77,18
Bahamas,1.24,1.06,0.37,2.67,19
Pakistan,1.21,0.55,1.20,2.96,20
Grenada,0.95,1.12,1.20,3.27,21
Papua New Guinea,0.88,1.28,0.00,2.16,22
Cameroon,0.77,0.88,0.98,2.63,23
Saint Lucia,0.64,0.64,0.85,2.13,24
Tanzania,0.57,0.23,0.35,1.15,25
Dominica,0.48,1.00,0.16,1.64,26
Namibia,0.41,0.60,1.03,2.04,27
British Virgin Islands,0.39,0.00,0.00,0.39,28
Fiji,0.35,0.00,1.42,1.77,29
Kiribati,0.27,0.00,0.00,0.27,30
Zambia,0.23,0.35,0.84,1.42,31
Barbados,0.23,0.23,0.73,1.19,32
Guyana,0.16,0.00,0.07,0.23,33
Nauru,0.14,0.70,0.50,1.34,34
Saint Vincent and the Grenadines,0.08,0.00,0.00,0.08,35
Cayman Islands,0.08,0.00,0.00,0.08,35
Mauritius,0.00,2.08,1.00,3.08,37
Sri Lanka,0.00,0.93,1.94,2.87,38
Mozambique,0.00,0.83,0.28,1.12,39
Ghana,0.00,0.78,1.27,2.04,40
Singapore,0.00,0.72,0.50,1.22,41
The Gambia,0.00,0.67,0.00,0.67,42
Isle of Man,0.00,0.31,0.22,0.53,43
Guernsey,0.00,0.25,0.23,0.49,44
Seychelles,0.00,0.14,0.12,0.26,45
Malta,0.00,0.00,0.53,0.53,46
Solomon Islands,0.00,0.00,0.35,0.35,47
Bermuda,0.00,0.00,0.23,0.23,48
Norfolk Island,0.00,0.00,0.20,0.20,49
Cook Islands,0.00,0.00,0.20,0.20,49
Niue,0.00,0.00,0.18,0.18,51
Tonga,0.00,0.00,0.17,0.17,52
Vanuatu,0.00,0.00,0.16,0.16,53
Bangladesh,0.00,0.00,0.00,0.00,54
Jersey,0.00,0.00,0.00,0.00,54
Gibraltar,0.00,0.00,0.00,0.00,54
Lesotho,0.00,0.00,0.00,0.00,54
Rwanda,0.00,0.00,0.00,0.00,54
Saint Helena,0.00,0.00,0.00,0.00,54
Antigua and Barbuda,0.00,0.00,0.00,0.00,54
Falkland Islands,0.00,0.00,0.00,0.00,54
Gabon,0.00,0.00,0.00,0.00,54
Turks and Caicos Islands,0.00,0.00,0.00,0.00,54
Tuvalu,0.00,0.00,0.00,0.00,54
Maldives,0.00,0.00,0.00,0.00,54
Saint Kitts and Nevis,0.00,0.00,0.00,0.00,54
Montserrat,0.00,0.00,0.00,0.00,54
Anguilla,0.00,0.00,0.00,0.00,54
Togo,0.00,0.00,0.00,0.00,54
Belize,0.00,0.00,0.00,0.00,54
Brunei,0.00,0.00,0.00,0.00,54
Sierra Leone,0.00,0.00,0.00,0.00,54
Eswatini,0.00,0.00,0.00,0.00,54
Malawi,0.00,0.00,0.00,0.00,54
