sport,country,gold,silver,bronze,total
Swimming,United States,17,12,16,45
Swimming,Australia,6,9,2,17
Swimming,Italy,5,2,2,9
Swimming,Canada,3,4,4,11
Swimming,France,2,4,2,8
Swimming,Sweden,2,2,0,4
Swimming,Hungary,2,0,0,2
Swimming,Romania,2,0,0,2
Swimming,England,1,1,3,5
Swimming,China,1,0,4,5
Swimming,Lithuania,1,0,1,2
Swimming,Germany,0,3,1,4
Swimming,Japan,0,2,2,4
Swimming,Brazil,0,1,1,2
Swimming,Netherlands,0,1,1,2
Swimming,Poland,0,1,1,2
Swimming,South Korea,0,1,0,1
Swimming,South Africa,0,0,1,1
Swimming,Ukraine,0,0,1,1
